"internal_taxon_name","GL_estimate","Source"
"Myotis thysanodes",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis hasseltii",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis occultus",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis aelleni",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis ater",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis australis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis chiloensis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis cobanensis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis dominicensis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis fimbriatus",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis findleyi",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis ikonnikovi",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis insularum",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis martiniquensis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis morrisi",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis peninsularis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis pequinius",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis planiceps",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis pruinosus",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis scotti",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis sicarius",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis simus",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis yanbarensis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis anjouanensis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis punicus",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis dinellii",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis bucharensis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis davidii",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis laniger",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis nipalensis",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis dieteri",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis alcathoe",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis macropus",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis moluccarum",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis melanorhinus",5.8,"Pacifici et al. (2013, NatCons)"
"Myotis annectans",5.8,"Pacifici et al. (2013, NatCons)"
"Callithrix geoffroyi",5.8,"Pacifici et al. (2013, NatCons)"
"Mico emiliae",5.8,"Pacifici et al. (2013, NatCons)"
"Anomalurus pelii",5.8,"Pacifici et al. (2013, NatCons)"
"Sciurus flammifer",5.8,"Pacifici et al. (2013, NatCons)"
"Sciurus sanborni",5.8,"Pacifici et al. (2013, NatCons)"
"Sciurus ignitus",5.8,"Pacifici et al. (2013, NatCons)"
"Sciurus richmondi",5.8,"Pacifici et al. (2013, NatCons)"
"Sciurus pyrrhinus",5.8,"Pacifici et al. (2013, NatCons)"
"Sciurus arizonensis",5.8,"Pacifici et al. (2013, NatCons)"
"Sciurus gilvigularis",5.8,"Pacifici et al. (2013, NatCons)"
"Sciurus pucheranii",5.8,"Pacifici et al. (2013, NatCons)"
"Mico intermedius",6,"Pacifici et al. (2013, NatCons)"
"Trichosurus cunninghami",6.2,"Pacifici et al. (2013, NatCons)"
"Ratufa affinis",6.4,"Pacifici et al. (2013, NatCons)"
"Nyctimene major",6.4,"Pacifici et al. (2013, NatCons)"
"Epomops franqueti",6.4,"Pacifici et al. (2013, NatCons)"
"Epomophorus gambianus",6.4,"Pacifici et al. (2013, NatCons)"
"Epomops buettikoferi",6.4,"Pacifici et al. (2013, NatCons)"
"Mirimiri acrodonta",6.4,"Pacifici et al. (2013, NatCons)"
"Pteralopex pulchra",6.4,"Pacifici et al. (2013, NatCons)"
"Hypsignathus monstrosus",6.4,"Pacifici et al. (2013, NatCons)"
"Aproteles bulmerae",6.4,"Pacifici et al. (2013, NatCons)"
"Lagidium wolffsohni",6.5,"Pacifici et al. (2013, NatCons)"
"Eptesicus diminutus",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus bobrinskoi",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus furinalis",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus pachyotis",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus brasiliensis",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus andinus",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus platyops",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus gobiensis",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus chiriquinus",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus japonensis",6.6,"Pacifici et al. (2013, NatCons)"
"Eptesicus kobayashii",6.6,"Pacifici et al. (2013, NatCons)"
"Callibella humilis",6.6,"Pacifici et al. (2013, NatCons)"
"Saguinus melanoleucus",6.8,"Pacifici et al. (2013, NatCons)"
"Saguinus labiatus",6.8,"Pacifici et al. (2013, NatCons)"
"Saguinus inustus",6.8,"Pacifici et al. (2013, NatCons)"
"Myotis altarium",6.9,"Pacifici et al. (2013, NatCons)"
"Myotis auriculus",6.9,"Pacifici et al. (2013, NatCons)"
"Myotis chinensis",6.9,"Pacifici et al. (2013, NatCons)"
"Ovis nivicola",7.2,"Pacifici et al. (2013, NatCons)"
"Dinomys branickii",7.3,"Pacifici et al. (2013, NatCons)"
"Rhinolophus megaphyllus",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus philippinensis",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus adami",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus borneensis",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus creaghi",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus osgoodi",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus rex",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus rufus",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus silvestris",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus subbadius",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus beddomei",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus sinicus",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus hillorum",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus sakejiensis",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus shortridgei",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus formosae",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus siamensis",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus pearsonii",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus acuminatus",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus capensis",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus hilli",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus inops",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus affinis",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus euryotis",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus bocharicus",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus yunanensis",7.5,"Pacifici et al. (2013, NatCons)"
"Rhinolophus luctus",7.5,"Pacifici et al. (2013, NatCons)"
"Plecotus austriacus",7.6,"Pacifici et al. (2013, NatCons)"
"Plecotus taivanus",7.6,"Pacifici et al. (2013, NatCons)"
"Plecotus teneriffae",7.6,"Pacifici et al. (2013, NatCons)"
"Plecotus balensis",7.6,"Pacifici et al. (2013, NatCons)"
"Plecotus christii",7.6,"Pacifici et al. (2013, NatCons)"
"Plecotus sardus",7.6,"Pacifici et al. (2013, NatCons)"
"Plecotus ognevi",7.6,"Pacifici et al. (2013, NatCons)"
"Plecotus sacrimontis",7.6,"Pacifici et al. (2013, NatCons)"
"Galeopterus variegatus",7.8,"Pacifici et al. (2013, NatCons)"
"Cynocephalus volans",7.8,"Pacifici et al. (2013, NatCons)"
"Callicebus barbarabrownae",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus marshalli",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus pusillus",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus lepidus",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus virgo",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus macrotis",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus malayanus",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus coelophyllus",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus stheno",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus paradoxolophus",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus thomasi",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus arcuatus",8,"Pacifici et al. (2013, NatCons)"
"Rhinolophus shameli",8,"Pacifici et al. (2013, NatCons)"
"Pteropus vampyrus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus woodfordi",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus personatus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus fundatus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus lombocensis",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus mahaganus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus admiralitatum",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus pohlei",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus scapulatus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus speciosus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus loochoensis",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus cognatus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus aruensis",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus keyensis",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus rennelli",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus intermedius",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus mariannus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus seychellensis",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus voeltzkowi",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus tonganus",8.1,"Pacifici et al. (2013, NatCons)"
"Pteropus alecto",8.1,"Pacifici et al. (2013, NatCons)"
"Mesocapromys nanus",8.1,"Pacifici et al. (2013, NatCons)"
"Mesocapromys angelcabrerai",8.1,"Pacifici et al. (2013, NatCons)"
"Mesocapromys auritus",8.1,"Pacifici et al. (2013, NatCons)"
"Mesocapromys sanfelipensis",8.1,"Pacifici et al. (2013, NatCons)"
"Chaetomys subspinosus",8.3,"Pacifici et al. (2013, NatCons)"
"Coendou nycthemera",8.3,"Pacifici et al. (2013, NatCons)"
"Coendou quichua",8.3,"Pacifici et al. (2013, NatCons)"
"Equus africanus",8.3,"Pacifici et al. (2013, NatCons)"
"Aotus vociferans",8.3,"Pacifici et al. (2013, NatCons)"
"Aotus jorgehernandezi",8.3,"Pacifici et al. (2013, NatCons)"
"Aotus azarae",8.3,"Pacifici et al. (2013, NatCons)"
"Phocoena spinipinnis",9.1,"Pacifici et al. (2013, NatCons)"
"Phocoena dioptrica",9.1,"Pacifici et al. (2013, NatCons)"
"Lasiorhinus krefftii",9.2,"Pacifici et al. (2013, NatCons)"
"Saimiri boliviensis",9.2,"Pacifici et al. (2013, NatCons)"
"Cercocebus sanjei",9.6,"Pacifici et al. (2013, NatCons)"
"Dendrolagus mayri",9.9,"Pacifici et al. (2013, NatCons)"
"Plagiodontia aedium",10,"Pacifici et al. (2013, NatCons)"
"Mysateles prehensilis",10,"Pacifici et al. (2013, NatCons)"
"Arctocephalus philippii",10,"Pacifici et al. (2013, NatCons)"
"Arctocephalus townsendi",10,"Pacifici et al. (2013, NatCons)"
"Chiropotes chiropotes",10,"Pacifici et al. (2013, NatCons)"
"Cacajao ayresi",10,"Pacifici et al. (2013, NatCons)"
"Dendrolagus bennettianus",10,"Pacifici et al. (2013, NatCons)"
"Rhinopithecus brelichi",10,"Pacifici et al. (2013, NatCons)"
"Bradypus pygmaeus",10.6,"Pacifici et al. (2013, NatCons)"
"Bradypus tridactylus",10.6,"Pacifici et al. (2013, NatCons)"
"Alouatta nigerrima",10.6,"Pacifici et al. (2013, NatCons)"
"Alouatta juara",10.6,"Pacifici et al. (2013, NatCons)"
"Alouatta arctoidea",10.6,"Pacifici et al. (2013, NatCons)"
"Cyclopes didactylus",10.8,"Pacifici et al. (2013, NatCons)"
"Allenopithecus nigroviridis",11,"Pacifici et al. (2013, NatCons)"
"Rungwecebus kipunji",11.1,"Pacifici et al. (2013, NatCons)"
"Kogia sima",12,"Pacifici et al. (2013, NatCons)"
"Kogia breviceps",12,"Pacifici et al. (2013, NatCons)"
"Chlorocebus tantalus",12.4,"Pacifici et al. (2013, NatCons)"
"Chlorocebus pygerythrus",12.4,"Pacifici et al. (2013, NatCons)"
"Chlorocebus djamdjamensis",12.4,"Pacifici et al. (2013, NatCons)"
"Chlorocebus cynosuros",12.4,"Pacifici et al. (2013, NatCons)"
"Cephalorhynchus eutropia",14,"Pacifici et al. (2013, NatCons)"
"Lagenorhynchus cruciger",15.5,"Pacifici et al. (2013, NatCons)"
"Lagenorhynchus australis",15.5,"Pacifici et al. (2013, NatCons)"
"Lagenorhynchus obscurus",15.5,"Pacifici et al. (2013, NatCons)"
"Lagenorhynchus albirostris",15.5,"Pacifici et al. (2013, NatCons)"
"Tursiops aduncus",17.6,"Pacifici et al. (2013, NatCons)"
"Hyperoodon planifrons",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon hectori",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon ginkgodens",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon layardii",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon mirus",17.7,"Pacifici et al. (2013, NatCons)"
"Indopacetus pacificus",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon densirostris",17.7,"Pacifici et al. (2013, NatCons)"
"Tasmacetus shepherdi",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon bowdoini",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon perrini",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon peruvianus",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon traversii",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon grayi",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon bidens",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon carlhubbsi",17.7,"Pacifici et al. (2013, NatCons)"
"Ziphius cavirostris",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon stejnegeri",17.7,"Pacifici et al. (2013, NatCons)"
"Mesoplodon europaeus",17.7,"Pacifici et al. (2013, NatCons)"
"Thylamys citellus",18.3,"Pacifici et al. (2013, NatCons)"
"Thylamys fenestrae",18.3,"Pacifici et al. (2013, NatCons)"
"Thylamys pulchellus",18.3,"Pacifici et al. (2013, NatCons)"
"Lissodelphis borealis",19.6,"Pacifici et al. (2013, NatCons)"
"Lissodelphis peronii",19.6,"Pacifici et al. (2013, NatCons)"
"Steno bredanensis",19.6,"Pacifici et al. (2013, NatCons)"
"Lagenodelphis hosei",19.6,"Pacifici et al. (2013, NatCons)"
"Feresa attenuata",19.6,"Pacifici et al. (2013, NatCons)"
"Grampus griseus",20,"Pacifici et al. (2013, NatCons)"
"Stenella frontalis",22.3,"Pacifici et al. (2013, NatCons)"
"Stenella longirostris",23,"Pacifici et al. (2013, NatCons)"
"Stenella clymene",23,"Pacifici et al. (2013, NatCons)"
"Balaenoptera omurai",24.7,"Pacifici et al. (2013, NatCons)"
"Berardius arnuxii",27,"Pacifici et al. (2013, NatCons)"
"Caperea marginata",28.1,"Pacifici et al. (2013, NatCons)"
"Lemmus lemmus",0.8,"Pacifici et al. (2013, NatCons)"
"Tarsipes rostratus",0.9,"Pacifici et al. (2013, NatCons)"
"Baiomys taylori",1.1,"Pacifici et al. (2013, NatCons)"
"Rhabdomys pumilio",1.2,"Pacifici et al. (2013, NatCons)"
"Didelphis marsupialis",1.4,"Pacifici et al. (2013, NatCons)"
"Mesocricetus brandti",1.4,"Pacifici et al. (2013, NatCons)"
"Philander opossum",1.6,"Pacifici et al. (2013, NatCons)"
"Sminthopsis crassicaudata",1.6,"Pacifici et al. (2013, NatCons)"
"Isoodon macrourus",1.7,"Pacifici et al. (2013, NatCons)"
"Proechimys guyannensis",1.8,"Pacifici et al. (2013, NatCons)"
"Cercartetus caudatus",1.8,"Pacifici et al. (2013, NatCons)"
"Perameles nasuta",1.9,"Pacifici et al. (2013, NatCons)"
"Monodelphis domestica",2,"Pacifici et al. (2013, NatCons)"
"Didelphis virginiana",2,"Pacifici et al. (2013, NatCons)"
"Arvicanthis niloticus",2.1,"Pacifici et al. (2013, NatCons)"
"Mystromys albicaudatus",2.1,"Pacifici et al. (2013, NatCons)"
"Mesocricetus auratus",2.2,"Pacifici et al. (2013, NatCons)"
"Taphozous georgianus",2.2,"Pacifici et al. (2013, NatCons)"
"Elephantulus rufescens",2.3,"Pacifici et al. (2013, NatCons)"
"Myotis austroriparius",2.4,"Pacifici et al. (2013, NatCons)"
"Saccopteryx bilineata",2.4,"Pacifici et al. (2013, NatCons)"
"Ochotona collaris",2.4,"Pacifici et al. (2013, NatCons)"
"Hypsiprymnodon moschatus",2.4,"Pacifici et al. (2013, NatCons)"
"Microgale talazaci",2.5,"Pacifici et al. (2013, NatCons)"
"Acrobates pygmaeus",2.7,"Pacifici et al. (2013, NatCons)"
"Caluromys philander",2.9,"Pacifici et al. (2013, NatCons)"
"Rhinolophus rouxii",2.9,"Pacifici et al. (2013, NatCons)"
"Cercartetus nanus",2.9,"Pacifici et al. (2013, NatCons)"
"Lepus americanus",3,"Pacifici et al. (2013, NatCons)"
"Pseudocheirus peregrinus",3.3,"Pacifici et al. (2013, NatCons)"
"Cynopterus sphinx",3.5,"Pacifici et al. (2013, NatCons)"
"Thylogale billardierii",3.6,"Pacifici et al. (2013, NatCons)"
"Aepyprymnus rufescens",3.6,"Pacifici et al. (2013, NatCons)"
"Lagostomus maximus",3.6,"Pacifici et al. (2013, NatCons)"
"Haplonycteris fischeri",3.7,"Pacifici et al. (2013, NatCons)"
"Kerodon rupestris",3.8,"Pacifici et al. (2013, NatCons)"
"Geocapromys brownii",3.9,"Pacifici et al. (2013, NatCons)"
"Setonix brachyurus",4,"Pacifici et al. (2013, NatCons)"
"Burramys parvus",4.2,"Pacifici et al. (2013, NatCons)"
"Erinaceus europaeus",4.4,"Pacifici et al. (2013, NatCons)"
"Dolichotis patagonum",4.6,"Pacifici et al. (2013, NatCons)"
"Macrotus californicus",4.7,"Pacifici et al. (2013, NatCons)"
"Martes pennanti",4.8,"Pacifici et al. (2013, NatCons)"
"Petrogale xanthopus",4.9,"Pacifici et al. (2013, NatCons)"
"Tragulus napu",5,"Pacifici et al. (2013, NatCons)"
"Hipposideros fulvus",5,"Pacifici et al. (2013, NatCons)"
"Carollia perspicillata",5.1,"Pacifici et al. (2013, NatCons)"
"Wallabia bicolor",5.1,"Pacifici et al. (2013, NatCons)"
"Galago moholi",5.3,"Pacifici et al. (2013, NatCons)"
"Petaurus breviceps",5.4,"Pacifici et al. (2013, NatCons)"
"Trichosurus vulpecula",5.5,"Pacifici et al. (2013, NatCons)"
"Galago senegalensis",5.9,"Pacifici et al. (2013, NatCons)"
"Martes americana",6.1,"Pacifici et al. (2013, NatCons)"
"Otolemur garnettii",6.2,"Pacifici et al. (2013, NatCons)"
"Hylochoerus meinertzhageni",6.3,"Pacifici et al. (2013, NatCons)"
"Nilgiritragus hylocrius",6.3,"Pacifici et al. (2013, NatCons)"
"Capreolus capreolus",6.4,"Pacifici et al. (2013, NatCons)"
"Saguinus midas",6.7,"Pacifici et al. (2013, NatCons)"
"Phacochoerus aethiopicus",6.9,"Pacifici et al. (2013, NatCons)"
"Trichosurus caninus",6.9,"Pacifici et al. (2013, NatCons)"
"Capra falconeri",7,"Pacifici et al. (2013, NatCons)"
"Sus scrofa",7.3,"Pacifici et al. (2013, NatCons)"
"Puma concolor",7.4,"Pacifici et al. (2013, NatCons)"
"Odocoileus virginianus",7.4,"Pacifici et al. (2013, NatCons)"
"Odocoileus hemionus",7.4,"Pacifici et al. (2013, NatCons)"
"Macropus fuliginosus",7.4,"Pacifici et al. (2013, NatCons)"
"Otolemur crassicaudatus",7.6,"Pacifici et al. (2013, NatCons)"
"Connochaetes gnou",7.8,"Pacifici et al. (2013, NatCons)"
"Canis lupus",7.9,"Pacifici et al. (2013, NatCons)"
"Felis silvestris",8,"Pacifici et al. (2013, NatCons)"
"Macaca sylvanus",8,"Pacifici et al. (2013, NatCons)"
"Pseudois nayaur",8.1,"Pacifici et al. (2013, NatCons)"
"Capra ibex",8.1,"Pacifici et al. (2013, NatCons)"
"Leptailurus serval",8.3,"Pacifici et al. (2013, NatCons)"
"Phocoena phocoena",8.3,"Pacifici et al. (2013, NatCons)"
"Damaliscus pygargus",8.4,"Pacifici et al. (2013, NatCons)"
"Procavia capensis",8.4,"Pacifici et al. (2013, NatCons)"
"Pecari tajacu",8.5,"Pacifici et al. (2013, NatCons)"
"Macropus giganteus",8.7,"Pacifici et al. (2013, NatCons)"
"Lontra canadensis",8.9,"Pacifici et al. (2013, NatCons)"
"Dama dama",9,"Pacifici et al. (2013, NatCons)"
"Cervus nippon",9.6,"Pacifici et al. (2013, NatCons)"
"Aotus trivirgatus",9.7,"Pacifici et al. (2013, NatCons)"
"Ovibos moschatus",9.8,"Pacifici et al. (2013, NatCons)"
"Orycteropus afer",9.9,"Pacifici et al. (2013, NatCons)"
"Alces alces",10.2,"Pacifici et al. (2013, NatCons)"
"Saimiri sciureus",10.4,"Pacifici et al. (2013, NatCons)"
"Semnopithecus entellus",10.4,"Pacifici et al. (2013, NatCons)"
"Lynx rufus",10.4,"Pacifici et al. (2013, NatCons)"
"Alouatta seniculus",10.5,"Pacifici et al. (2013, NatCons)"
"Papio anubis",10.5,"Pacifici et al. (2013, NatCons)"
"Cercopithecus neglectus",11.6,"Pacifici et al. (2013, NatCons)"
"Cercopithecus ascanius",12.2,"Pacifici et al. (2013, NatCons)"
"Theropithecus gelada",12.2,"Pacifici et al. (2013, NatCons)"
"Colobus guereza",12.3,"Pacifici et al. (2013, NatCons)"
"Chlorocebus aethiops",12.4,"Pacifici et al. (2013, NatCons)"
"Ursus americanus",13,"Pacifici et al. (2013, NatCons)"
"Cephalorhynchus hectori",13,"Pacifici et al. (2013, NatCons)"
"Cercopithecus mitis",13.5,"Pacifici et al. (2013, NatCons)"
"Macaca mulatta",13.9,"Pacifici et al. (2013, NatCons)"
"Cervus elaphus",14.3,"Pacifici et al. (2013, NatCons)"
"Papio hamadryas",14.6,"Pacifici et al. (2013, NatCons)"
"Papio ursinus",15.6,"Pacifici et al. (2013, NatCons)"
"Camelus ferus",16,"Pacifici et al. (2013, NatCons)"
"Ursus arctos",16.4,"Pacifici et al. (2013, NatCons)"
"Papio cynocephalus",16.9,"Pacifici et al. (2013, NatCons)"
"Cebus olivaceus",17,"Pacifici et al. (2013, NatCons)"
"Tursiops truncatus",17.6,"Pacifici et al. (2013, NatCons)"
"Orcinus orca",25.7,"Pacifici et al. (2013, NatCons)"
"Eubalaena australis",27,"Pacifici et al. (2013, NatCons)"
"Bolitoglossa bramei",3.5,"Mancini et al. (2025, Ecography)"
"Chimerella mariaelenae",3.5,"Mancini et al. (2025, Ecography)"
"Pristimantis aquilonaris",3.4,"Mancini et al. (2025, Ecography)"
"Bolitoglossa gomezi",3.4,"Mancini et al. (2025, Ecography)"
"Oreobates lehri",3.7,"Mancini et al. (2025, Ecography)"
"Pristimantis leucorrhinus",3.3,"Mancini et al. (2025, Ecography)"
"Petropedetes vulpiae",3.8,"Mancini et al. (2025, Ecography)"
"Petropedetes euskircheni",4,"Mancini et al. (2025, Ecography)"
"Petropedetes juliawurstnerae",3.7,"Mancini et al. (2025, Ecography)"
"Hyalinobatrachium carlesvilai",3.4,"Mancini et al. (2025, Ecography)"
"Bolitoglossa pygmaea",3.6,"Mancini et al. (2025, Ecography)"
"Limnonectes megastomias",3.8,"Mancini et al. (2025, Ecography)"
"Osteocephalus castaneicola",3.7,"Mancini et al. (2025, Ecography)"
"Scinax iquitorum",3.4,"Mancini et al. (2025, Ecography)"
"Rhaebo andinophrynoides",3.3,"Mancini et al. (2025, Ecography)"
"Bolitoglossa daryorum",3.5,"Mancini et al. (2025, Ecography)"
"Bolitoglossa eremia",3.3,"Mancini et al. (2025, Ecography)"
"Bolitoglossa huehuetenanguensis",3.6,"Mancini et al. (2025, Ecography)"
"Bolitoglossa kaqchikelorum",3.3,"Mancini et al. (2025, Ecography)"
"Bolitoglossa la",3.4,"Mancini et al. (2025, Ecography)"
"Bolitoglossa ninadormida",3.7,"Mancini et al. (2025, Ecography)"
"Bolitoglossa nympha",2.9,"Mancini et al. (2025, Ecography)"
"Bolitoglossa pacaya",3.4,"Mancini et al. (2025, Ecography)"
"Bolitoglossa xibalba",3.5,"Mancini et al. (2025, Ecography)"
"Eleutherodactylus aporostegus",3.3,"Mancini et al. (2025, Ecography)"
"Eleutherodactylus melatrigonum",3.1,"Mancini et al. (2025, Ecography)"
"Odorrana nanjiangensis",5.9,"Mancini et al. (2025, Ecography)"
"Paramesotriton longliensis",5.7,"Mancini et al. (2025, Ecography)"
"Osornophryne cofanorum",3.6,"Mancini et al. (2025, Ecography)"
"Duttaphrynus mamitensis",4.3,"Mancini et al. (2025, Ecography)"
"Telmatobius peruvianus",4.8,"Mancini et al. (2025, Ecography)"
"Ameerega planipaleae",3.9,"Mancini et al. (2025, Ecography)"
"Ansonia penangensis",3.5,"Mancini et al. (2025, Ecography)"
"Atelopus laetissimus",4,"Mancini et al. (2025, Ecography)"
"Atelopus nahumae",4.3,"Mancini et al. (2025, Ecography)"
"Vandijkophrynus angusticeps",4.3,"Mancini et al. (2025, Ecography)"
"Rhinella arborescandens",4,"Mancini et al. (2025, Ecography)"
"Poyntonophrynus fenoulheti",3.5,"Mancini et al. (2025, Ecography)"
"Vandijkophrynus gariepensis",4.9,"Mancini et al. (2025, Ecography)"
"Peltophryne guentheri",4.1,"Mancini et al. (2025, Ecography)"
"Rhaebo haematiticus",4.4,"Mancini et al. (2025, Ecography)"
"Bufotes latastii",7.6,"Mancini et al. (2025, Ecography)"
"Sclerophrys maculata",4,"Mancini et al. (2025, Ecography)"
"Vandijkophrynus robinsoni",4.4,"Mancini et al. (2025, Ecography)"
"Poyntonophrynus vertebralis",3.7,"Mancini et al. (2025, Ecography)"
"Capensibufo tradouwi",3.9,"Mancini et al. (2025, Ecography)"
"Leptophryne cruentata",3.9,"Mancini et al. (2025, Ecography)"
"Sabahphrynus maculatus",4.3,"Mancini et al. (2025, Ecography)"
"Pelophryne guentheri",4,"Mancini et al. (2025, Ecography)"
"Schismaderma carens",4.3,"Mancini et al. (2025, Ecography)"
"Sachatamia ilex",3.7,"Mancini et al. (2025, Ecography)"
"Cochranella euknemos",3.6,"Mancini et al. (2025, Ecography)"
"Rulyrana flavopunctata",3.4,"Mancini et al. (2025, Ecography)"
"Cochranella granulosa",3.6,"Mancini et al. (2025, Ecography)"
"Hyalinobatrachium bergeri",3.6,"Mancini et al. (2025, Ecography)"
"Hyalinobatrachium mondolfii",3.2,"Mancini et al. (2025, Ecography)"
